Date;home;visitor;hgoal;vgoal;division
09.08.2013;Bayern Munchen;Bor. Monchengladbach;3;1;1
10.08.2013;Bayer Leverkusen;SC Freiburg;3;1;1
10.08.2013;Hannover 96;VfL Wolfsburg;2;0;1
10.08.2013;1899 Hoffenheim;1. FC Nurnberg;2;2;1
10.08.2013;FC Augsburg;Borussia Dortmund;0;4;1
10.08.2013;Hertha BSC;Eintracht Frankfurt;6;1;1
10.08.2013;Eintracht Braunschweig;Werder Bremen;0;1;1
11.08.2013;1. FSV Mainz 05;VfB Stuttgart;3;2;1
11.08.2013;FC Schalke 04;Hamburger SV;3;3;1
17.08.2013;VfB Stuttgart;Bayer Leverkusen;0;1;1
17.08.2013;VfL Wolfsburg;FC Schalke 04;4;0;1
17.08.2013;Werder Bremen;FC Augsburg;1;0;1
17.08.2013;SC Freiburg;1. FSV Mainz 05;1;2;1
17.08.2013;Hamburger SV;1899 Hoffenheim;1;5;1
17.08.2013;Eintracht Frankfurt;Bayern Munchen;0;1;1
17.08.2013;Bor. Monchengladbach;Hannover 96;3;0;1
18.08.2013;1. FC Nurnberg;Hertha BSC;2;2;1
18.08.2013;Borussia Dortmund;Eintracht Braunschweig;2;1;1
23.08.2013;Borussia Dortmund;Werder Bremen;1;0;1
24.08.2013;Bayern Munchen;1. FC Nurnberg;2;0;1
24.08.2013;Bayer Leverkusen;Bor. Monchengladbach;4;2;1
24.08.2013;Hannover 96;FC Schalke 04;2;1;1
24.08.2013;1899 Hoffenheim;SC Freiburg;3;3;1
24.08.2013;1. FSV Mainz 05;VfL Wolfsburg;2;0;1
24.08.2013;Hertha BSC;Hamburger SV;1;0;1
25.08.2013;Eintracht Braunschweig;Eintracht Frankfurt;0;2;1
25.08.2013;FC Augsburg;VfB Stuttgart;2;1;1
27.08.2013;SC Freiburg;Bayern Munchen;1;1;1
31.08.2013;Bor. Monchengladbach;Werder Bremen;4;1;1
31.08.2013;Hannover 96;1. FSV Mainz 05;4;1;1
31.08.2013;VfL Wolfsburg;Hertha BSC;2;0;1
31.08.2013;1. FC Nurnberg;FC Augsburg;0;1;1
31.08.2013;Hamburger SV;Eintracht Braunschweig;4;0;1
31.08.2013;FC Schalke 04;Bayer Leverkusen;2;0;1
01.09.2013;VfB Stuttgart;1899 Hoffenheim;6;2;1
01.09.2013;Eintracht Frankfurt;Borussia Dortmund;1;2;1
13.09.2013;Hertha BSC;VfB Stuttgart;0;1;1
14.09.2013;Bayern Munchen;Hannover 96;2;0;1
14.09.2013;Bayer Leverkusen;VfL Wolfsburg;3;1;1
14.09.2013;Werder Bremen;Eintracht Frankfurt;0;3;1
14.09.2013;1. FSV Mainz 05;FC Schalke 04;0;1;1
14.09.2013;FC Augsburg;SC Freiburg;2;1;1
14.09.2013;Borussia Dortmund;Hamburger SV;6;2;1
15.09.2013;1899 Hoffenheim;Bor. Monchengladbach;2;1;1
15.09.2013;Eintracht Braunschweig;1. FC Nurnberg;1;1;1
20.09.2013;Bor. Monchengladbach;Eintracht Braunschweig;4;1;1
21.09.2013;Hannover 96;FC Augsburg;2;1;1
21.09.2013;VfL Wolfsburg;1899 Hoffenheim;2;1;1
21.09.2013;1. FC Nurnberg;Borussia Dortmund;1;1;1
21.09.2013;1. FSV Mainz 05;Bayer Leverkusen;1;4;1
21.09.2013;Hamburger SV;Werder Bremen;0;2;1
21.09.2013;FC Schalke 04;Bayern Munchen;0;4;1
22.09.2013;SC Freiburg;Hertha BSC;1;1;1
22.09.2013;VfB Stuttgart;Eintracht Frankfurt;1;1;1
27.09.2013;FC Augsburg;Bor. Monchengladbach;2;2;1
28.09.2013;Borussia Dortmund;SC Freiburg;5;0;1
28.09.2013;Bayern Munchen;VfL Wolfsburg;1;0;1
28.09.2013;Bayer Leverkusen;Hannover 96;2;0;1
28.09.2013;1899 Hoffenheim;FC Schalke 04;3;3;1
28.09.2013;Hertha BSC;1. FSV Mainz 05;3;1;1
28.09.2013;Eintracht Frankfurt;Hamburger SV;2;2;1
29.09.2013;Werder Bremen;1. FC Nurnberg;3;3;1
29.09.2013;Eintracht Braunschweig;VfB Stuttgart;0;4;1
04.10.2013;Hannover 96;Hertha BSC;1;1;1
05.10.2013;FC Schalke 04;FC Augsburg;4;1;1
05.10.2013;Bor. Monchengladbach;Borussia Dortmund;2;0;1
05.10.2013;VfB Stuttgart;Werder Bremen;1;1;1
05.10.2013;VfL Wolfsburg;Eintracht Braunschweig;0;2;1
05.10.2013;1. FSV Mainz 05;1899 Hoffenheim;2;2;1
05.10.2013;Bayer Leverkusen;Bayern Munchen;1;1;1
06.10.2013;1. FC Nurnberg;Hamburger SV;0;5;1
06.10.2013;SC Freiburg;Eintracht Frankfurt;1;1;1
18.10.2013;1899 Hoffenheim;Bayer Leverkusen;1;2;1
19.10.2013;Borussia Dortmund;Hannover 96;1;0;1
19.10.2013;Bayern Munchen;1. FSV Mainz 05;4;1;1
19.10.2013;Werder Bremen;SC Freiburg;0;0;1
19.10.2013;Eintracht Braunschweig;FC Schalke 04;2;3;1
19.10.2013;Eintracht Frankfurt;1. FC Nurnberg;1;1;1
19.10.2013;Hertha BSC;Bor. Monchengladbach;1;0;1
20.10.2013;Hamburger SV;VfB Stuttgart;3;3;1
20.10.2013;FC Augsburg;VfL Wolfsburg;1;2;1
25.10.2013;VfB Stuttgart;1. FC Nurnberg;1;1;1
26.10.2013;Bayern Munchen;Hertha BSC;3;2;1
26.10.2013;FC Schalke 04;Borussia Dortmund;1;3;1
26.10.2013;Bayer Leverkusen;FC Augsburg;2;1;1
26.10.2013;Hannover 96;1899 Hoffenheim;1;4;1
26.10.2013;1. FSV Mainz 05;Eintracht Braunschweig;2;0;1
26.10.2013;VfL Wolfsburg;Werder Bremen;3;0;1
27.10.2013;SC Freiburg;Hamburger SV;0;3;1
27.10.2013;Bor. Monchengladbach;Eintracht Frankfurt;4;1;1
01.11.2013;Borussia Dortmund;VfB Stuttgart;6;1;1
02.11.2013;1. FC Nurnberg;SC Freiburg;0;3;1
02.11.2013;1899 Hoffenheim;Bayern Munchen;1;2;1
02.11.2013;Hamburger SV;Bor. Monchengladbach;0;2;1
02.11.2013;Eintracht Braunschweig;Bayer Leverkusen;1;0;1
02.11.2013;Hertha BSC;FC Schalke 04;0;2;1
02.11.2013;Eintracht Frankfurt;VfL Wolfsburg;1;2;1
03.11.2013;FC Augsburg;1. FSV Mainz 05;2;1;1
03.11.2013;Werder Bremen;Hannover 96;3;2;1
08.11.2013;Hannover 96;Eintracht Braunschweig;0;0;1
09.11.2013;Bayern Munchen;FC Augsburg;3;0;1
09.11.2013;FC Schalke 04;Werder Bremen;3;1;1
09.11.2013;Bayer Leverkusen;Hamburger SV;5;3;1
09.11.2013;VfL Wolfsburg;Borussia Dortmund;2;1;1
09.11.2013;1899 Hoffenheim;Hertha BSC;2;3;1
09.11.2013;Bor. Monchengladbach;1. FC Nurnberg;3;1;1
10.11.2013;1. FSV Mainz 05;Eintracht Frankfurt;1;0;1
10.11.2013;SC Freiburg;VfB Stuttgart;1;3;1
22.11.2013;VfB Stuttgart;Bor. Monchengladbach;0;2;1
23.11.2013;1. FC Nurnberg;VfL Wolfsburg;1;1;1
23.11.2013;FC Augsburg;1899 Hoffenheim;2;0;1
23.11.2013;Eintracht Braunschweig;SC Freiburg;0;1;1
23.11.2013;Eintracht Frankfurt;FC Schalke 04;3;3;1
23.11.2013;Hertha BSC;Bayer Leverkusen;0;1;1
23.11.2013;Borussia Dortmund;Bayern Munchen;0;3;1
